000000-001-002,allium tuberosum,['Petuvirus venapetuniae'],1.0
000000-001-002,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-002-004,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-002-005,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-003-001,allium tuberosum,['Betanucleorhabdovirus cnidii'],0.993006993006993
000000-003-002,allium tuberosum,['Betanucleorhabdovirus cnidii'],0.993006993006993
000000-003-002,allium tuberosum,['Dioscorea bacilliform virus'],0.9906542056074766
000000-003-004,allium tuberosum,['Betanucleorhabdovirus cnidii'],0.993006993006993
000000-003-004,allium tuberosum,['Dioscorea bacilliform virus'],0.9906542056074766
000000-003-005,allium tuberosum,['Betanucleorhabdovirus cnidii'],0.993006993006993
000000-006-007,allium tuberosum,['Potato mop-top virus'],1.0
000000-006-007,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-006-007,allium tuberosum,['Caudoviricetes sp.'],0.983640081799591
000000-006-008,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-006-008,allium tuberosum,['Caudoviricetes sp.'],0.983640081799591
000000-006-009,allium tuberosum,['Potato mop-top virus'],1.0
000000-006-009,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-006-009,allium tuberosum,['Caudoviricetes sp.'],0.983640081799591
000000-006-010,allium tuberosum,['Potato mop-top virus'],1.0
000000-006-010,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-006-010,allium tuberosum,['Caudoviricetes sp.'],0.983640081799591
000000-007-006,allium tuberosum,['Potato virus S'],0.999725802029065
000000-007-008,allium tuberosum,['Potato virus S'],1.0
000000-008-009,allium tuberosum,['Potato virus S'],0.9737963693764798
000000-008-009,allium tuberosum,['Solendovirus venanicotianae'],0.9697732997481108
000000-008-010,allium tuberosum,['Red clover bacilliform virus'],1.0
000000-009-006,allium tuberosum,['Potato virus M'],1.0
000000-009-007,allium tuberosum,['Tobacco rattle virus'],1.0
000000-009-008,allium tuberosum,['Tobacco rattle virus'],1.0
000000-009-010,allium tuberosum,['Potyvirus yituberosi'],0.7122171945701358
000000-009-010,allium tuberosum,['Tobacco rattle virus'],1.0
102906-001-001,unknown,['European mountain ash ringspot-associated emaravirus'],0.9859983058448352
102906-001-001,unknown,['Bell pepper mottle virus'],0.9997296201162632
102906-001-002,unknown,['Tomato blistering mosaic tymovirus'],1.0
102906-001-002,unknown,['European mountain ash ringspot-associated emaravirus'],0.9942682581173432
102906-001-002,unknown,['Bell pepper mottle virus'],0.9992880028479886
102906-001-003,unknown,['Cassava vein mosaic virus'],0.5221238938053098
102906-001-003,unknown,['Bell pepper alphaendornavirus'],0.9879427602926348
102906-001-005,unknown,['Actinidia chlorotic ringspot-associated emaravirus'],0.5856573705179283
102906-001-005,unknown,['Red clover bacilliform virus'],0.8492569002123143
102906-001-006,capsicum,['Actinidia chlorotic ringspot-associated emaravirus'],0.488275143303804
102906-001-006,capsicum,['Pepper enamovirus'],0.8718430814573911
102906-001-006,capsicum,['Raspberry leaf blotch emaravirus'],0.9863013698630136
102906-001-006,capsicum,['Bell pepper alphaendornavirus'],0.9982771222721104
102906-001-007,capsicum,['Raspberry leaf blotch emaravirus'],0.986138613861386
102906-001-007,capsicum,['Red clover bacilliform virus'],0.8229787234042554
102906-001-008,unknown,['Tomato blistering mosaic tymovirus'],0.5216193709563769
102906-001-010,unknown,['Tomato blistering mosaic tymovirus'],0.9934426229508196
102906-001-011,unknown,['Red clover bacilliform virus'],0.6146788990825688
102906-001-013,unknown,['European mountain ash ringspot-associated emaravirus'],0.9910201149425288
102906-001-014,unknown,['Bell pepper mottle virus'],0.9778375953342306
102906-001-017,capsicum annuum,['Pepper enamovirus'],0.891019574637645
102906-001-017,capsicum annuum,['Bell pepper alphaendornavirus'],0.9903300076745972
102906-001-018,unknown,['Dioscorea bacilliform virus'],0.798219584569733
102906-001-019,unknown,['Dioscorea bacilliform virus'],0.6421800947867299
102906-001-020,unknown,['Dioscorea bacilliform virus'],0.6089743589743589
102906-001-021,unknown,['Cassava vein mosaic virus'],0.5644171779141104
103165-001-002,solanum tuberosum,['Potato virus A'],0.9975165741680524
103165-001-002,solanum tuberosum,['Cassava Torrado-like virus'],0.6685735721654319
103165-001-004,solanum tuberosum,['Red clover nepovirus A'],0.9462247585601404
103165-001-004,solanum tuberosum,['Potato virus A'],0.9970698871510592
103165-001-004,solanum tuberosum,['Potato virus V'],0.9989607690309172
103165-001-004,solanum tuberosum,['Tobacco vein clearing virus'],0.5728155339805825
103165-001-005,cichorium intybus,['Pepper mild mottle virus'],0.4842372881355932
103165-001-005,cichorium intybus,['Naranjilla mild mosaic virus'],1.0
103165-001-005,cichorium intybus,['Tomato necrotic spot virus'],1.0
103165-001-006,solanum tuberosum,['Potato virus A'],0.9994945825567804
103165-001-006,solanum tuberosum,['Red clover nepovirus A'],0.5588972431077694
103165-001-006,solanum tuberosum,['Potato virus V'],0.9981657977721498
103165-001-006,solanum tuberosum,['Potato virus X'],0.5376368258140379
103165-001-006,solanum tuberosum,['Beet ringspot virus'],0.7766330105089635
